concept,gloss
to carry,TO-CARRY2^
to celebrate,TO-CELEBRATE1A^
to change,TO-CHANGE1A^
to choke,TO-CHOKE1A^
to claim,TO-CLAIM1^
to clean up,TO-CLEAN-UP1A^
to clean up floor,TO-CLEAN-UP-FLOOR1^
to climb,TO-CLIMB2A^
to close,TO-CLOSE1^
to coat sth,TO-COAT-STH2A^
to collect,TO-COLLECT1^
to come,TO-COME1^
to complain,TO-COMPLAIN2^
to comprehend,TO-COMPREHEND1^
to compress,TO-COMPRESS1A^
to cough,TO-COUGH2^
to crank,TO-CRANK1A^
to crawl,TO-CRAWL1^
to criticise,TO-CRITICISE1A^
to cry,TO-CRY4^
to cut,TO-CUT2A^
to cut to mow,TO-CUT-TO-MOW1A^
to cut with scissors,TO-CUT-WITH-SCISSORS1^
to damage,TO-DAMAGE1^
to deceive,TO-DECEIVE1^
to decide,TO-DECIDE1A^
to decrease,TO-DECREASE5B^
to decrease sth,TO-DECREASE-STH1A^
to devour,TO-DEVOUR1A^
to dig,TO-DIG1A^
to dismiss,TO-DISMISS1^
to dispatch,TO-DISPATCH1^
to distribute,TO-DISTRIBUTE2^
to divide in,TO-DIVIDE-IN1A^
to do gymnastics,TO-DO-GYMNASTICS2^
to donate,TO-DONATE1^
to draw sth into a syringe,TO-DRAW-STH-INTO-A-SYRINGE1A^
to dress upper body,TO-DRESS-UPPER-BODY1A^
to drill,TO-DRILL1A^
to drink,TO-DRINK1^
to drive,TO-DRIVE1^
to drive sb,TO-DRIVE-SB1A^
to drive steering wheel,TO-DRIVE-STEERING-WHEEL1^
to eat or food,TO-EAT-OR-FOOD1^
to elope,TO-ELOPE1A^
to expand,TO-EXPAND1A^
to explain,TO-EXPLAIN1^
to fall,TO-FALL2A^
to fill,TO-FILL2A^
to find,TO-FIND1A^
to fish,TO-FISH1A^
to focus,TO-FOCUS1A^
to follow,TO-FOLLOW1A^
to forget,TO-FORGET1^
to form,TO-FORM1^
to get,TO-GET1A^
to get sth done,TO-GET-STH-DONE1A^
to get up,TO-GET-UP1^
to give,TO-GIVE1A^
to give hold on to,TO-GIVE-HOLD-ON-TO1A^
to give in,TO-GIVE-IN1^
to give money,TO-GIVE-MONEY1^
to go,TO-GO1A^
to go for a walk,TO-GO-FOR-A-WALK1^
to go there,TO-GO-THERE1^
to grab,TO-GRAB1A^
to grind,TO-GRIND1^
to grow,TO-GROW1A^
to hang on,TO-HANG-ON1^
to hear,TO-HEAR1A^
to help,TO-HELP1^
to hide,TO-HIDE1A^
to hike,TO-HIKE4^
to hit,TO-HIT1^
to hold paper,TO-HOLD-PAPER1A^
to honour,TO-HONOUR1A^
to hope,TO-HOPE1A^
to hurt ones eyes,TO-HURT-ONES-EYES1^
to ice skate,TO-ICE-SKATE1A^
to increase or to gain weight,TO-INCREASE-OR-TO-GAIN-WEIGHT3^
to infringe,TO-INFRINGE1^
to inject,TO-INJECT1A^
to interlock,TO-INTERLOCK1A^
to internalise,TO-INTERNALISE1^
to intervene,TO-INTERVENE1A^
to invite,TO-INVITE2^
to join,TO-JOIN1A^
to juice,TO-JUICE1A^
to jump,TO-JUMP1^
to knit,TO-KNIT1^
to know or knowledge,TO-KNOW-OR-KNOWLEDGE1^
to know sth or sb,TO-KNOW-STH-OR-SB1A^
to lack,TO-LACK1A^
to laugh,TO-LAUGH1^
to lead,TO-LEAD1^
to learn,TO-LEARN1^
to let,TO-LET1^
to let know,TO-LET-KNOW1A^
to lie,TO-LIE1^
to lie leg,TO-LIE-LEG2^
to lie or to lay,TO-LIE-OR-TO-LAY2^
to lift up,TO-LIFT-UP1^
to link,TO-LINK1B^
to list,TO-LIST1A^
to live,TO-LIVE1A^
to look at,TO-LOOK-AT1^
to look up,TO-LOOK-UP2^
to lower,TO-LOWER1A^
to marry,TO-MARRY1A^
to match,TO-MATCH1^
to measure,TO-MEASURE1A^
to meet,TO-MEET1^
to memorise,TO-MEMORISE1^
to milk,TO-MILK1B^
to miss out on sth,TO-MISS-OUT-ON-STH1A^
to mix,TO-MIX1^
to move,TO-MOVE1^
to need,TO-NEED1^
to obtain,TO-OBTAIN1^
to open,TO-OPEN3^
to open book,TO-OPEN-BOOK1^
to oppress,TO-OPPRESS1A^
to order,TO-ORDER1A^
to organise,TO-ORGANISE2B^
to own to exist,TO-OWN-TO-EXIST1^
to paint,TO-PAINT2^
to palm,TO-PALM1^
to part to chop,TO-PART-TO-CHOP1^
to part to cut,TO-PART-TO-CUT1^
to part to cut body part,TO-PART-TO-CUT-BODY-PART1A^
to pass or to persist,TO-PASS-OR-TO-PERSIST1^
to pay,TO-PAY1^
to phone,TO-PHONE1^
to pick,TO-PICK1^
to pick up,TO-PICK-UP1^
to pierce,TO-PIERCE1A^
to pile,TO-PILE1A^
to play,TO-PLAY1^
to plug,TO-PLUG1^
to ponder,TO-PONDER1^
to pop,TO-POP1^
to pour,TO-POUR1A^
to pour or to water,TO-POUR-OR-TO-WATER1A^
to pray,TO-PRAY1A^
to prefer,TO-PREFER1^
to press with thumb,TO-PRESS-WITH-THUMB3^
to pressure,TO-PRESSURE1^
to print,TO-PRINT1^
to produce,TO-PRODUCE1B^
to promote,TO-PROMOTE1B^
to prop up legs,TO-PROP-UP-LEGS1^
to provoke,TO-PROVOKE1^
to pull,TO-PULL1A^
to push,TO-PUSH1^
to push to the side,TO-PUSH-TO-THE-SIDE1^
to put,TO-PUT6^
to put from to,TO-PUT-FROM-TO1A^
to put in,TO-PUT-IN1^
to rake,TO-RAKE2A^
to rant,TO-RANT1^
to read,TO-READ1C^
to read off,TO-READ-OFF1^
to receive or to preserve,TO-RECEIVE-OR-TO-PRESERVE1^
to recommend,TO-RECOMMEND1A^
to resign,TO-RESIGN1^
to restrain,TO-RESTRAIN1A^
to ring bell,TO-RING-BELL1^
to rise,TO-RISE1^
to rub,TO-RUB2^
to run,TO-RUN1^
to run high heels,TO-RUN-HIGH-HEELS1^
to sail,TO-SAIL3^
to say,TO-SAY1^
to scatter,TO-SCATTER1A^
to scratch skin,TO-SCRATCH-SKIN1^
to search,TO-SEARCH1^
to see,TO-SEE1^
to send or to dispatch,TO-SEND-OR-TO-DISPATCH1^
to separate,TO-SEPARATE1A^
to set back ears,TO-SET-BACK-EARS1^
to shake,TO-SHAKE2B^
to shake hands,TO-SHAKE-HANDS3^
to sharpen,TO-SHARPEN4^
to shiver,TO-SHIVER1^
to shiver with fear,TO-SHIVER-WITH-FEAR1A^
to shoot,TO-SHOOT1B^
to show,TO-SHOW1A^
to shrink,TO-SHRINK1A^
to shut,TO-SHUT1A^
to sign,TO-SIGN1A^
to sign a form,TO-SIGN-A-FORM1A^
to sit,TO-SIT1A^
to skewer,TO-SKEWER1C^
to sleep,TO-SLEEP2^
to slide or to push,TO-SLIDE-OR-TO-PUSH2^
to slide or to slip,TO-SLIDE-OR-TO-SLIP2^
to smell,TO-SMELL1^
to smile,TO-SMILE1^
to smoke,TO-SMOKE1A^
to spark,TO-SPARK1A^
to speak,TO-SPEAK1A^
